"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","correct_response","is_correct"
"1964","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with SOA -- 2 Colors.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","j","html-keyboard-response","0","1966","0.0-0.0","","","","","","","","","","","",""
"25860","
		<div style=""width:800px"">
			<p>You will see text in 2 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key F</li><li style=""color:Red"">Red - key J</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press F key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","f","html-keyboard-response","1","27828","0.0-1.0","","","","","","","","","","","",""
"2536","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	","j","html-keyboard-response","2","30364","0.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","30867","0.0-3.0-0.0","fixation","","","","","","","","","","",""
"589","","j","psychophysics","4","31983","0.0-3.0-1.0","response","key","j","16.685888888888865","500","400","Red","Blue","false","25","J","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","5","32491","0.0-3.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","33000","0.0-3.0-0.1","fixation","","","","","","","","","","",""
"543","","f","psychophysics","7","34052","0.0-3.0-1.1","response","key","f","16.686531249999916","500","400","Blue","Blue","true","25","F","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","8","34562","0.0-3.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","35074","0.0-3.0-0.2","fixation","","","","","","","","","","",""
"397","","f","psychophysics","10","35995","0.0-3.0-1.2","response","key","f","16.68462500000017","500","400","Blue","Red","false","250","F","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","11","36507","0.0-3.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","37020","0.0-3.0-0.3","fixation","","","","","","","","","","",""
"304","","j","psychophysics","13","37845","0.0-3.0-1.3","response","key","j","16.67944444444422","500","400","Red","Red","true","250","J","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","14","38353","0.0-3.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","38864","0.0-3.0-0.4","fixation","","","","","","","","","","",""
"407","","f","psychophysics","16","39793","0.0-3.0-1.4","response","key","f","16.67491666666653","500","400","Blue","Blue","true","0","F","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","17","40306","0.0-3.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","40815","0.0-3.0-0.5","fixation","","","","","","","","","","",""
"431","","f","psychophysics","19","41766","0.0-3.0-1.5","response","key","f","16.689040000000094","500","400","Blue","Blue","true","100","F","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","20","42276","0.0-3.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","42787","0.0-3.0-0.6","fixation","","","","","","","","","","",""
"447","","j","psychophysics","22","43774","0.0-3.0-1.6","response","key","j","17.28132142857144","500","400","Red","Blue","false","100","J","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","23","44283","0.0-3.0-2.6","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","44796","0.0-3.0-0.7","fixation","","","","","","","","","","",""
