"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"1258","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Duration  -- 2 Colors.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","j","html-keyboard-response","0","1259","0.0-0.0","","","","","","","","","","","",""
"1553","
		<div style=""width:800px"">
			<p>You will see text in 2 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key F</li><li style=""color:Red"">Red - key J</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press F key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","j","html-keyboard-response","1","2814","0.0-1.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","3317","0.0-2.0-0.0","fixation","","","","","","","","","","",""
"4377","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is J.</p>
		</div>
	  ","j","html-keyboard-response","3","8211","0.0-2.0-1.0","","J","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","4","8716","0.0-2.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","9226","0.0-2.0-0.1","fixation","","","","","","","","","","",""
"505","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is J.</p>
		</div>
	  ","j","html-keyboard-response","6","10250","0.0-2.0-1.1","","J","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","7","10755","0.0-2.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","11270","0.0-2.0-0.2","fixation","","","","","","","","","","",""
"292","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is F.</p>
		</div>
	  ","f","html-keyboard-response","9","12074","0.0-2.0-1.2","","F","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","10","12588","0.0-2.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","13089","0.0-2.0-0.3","fixation","","","","","","","","","","",""
"1024","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is F.</p>
		</div>
	  ","f","html-keyboard-response","12","14625","0.0-2.0-1.3","","F","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","13","15134","0.0-2.0-2.3","","","","","","","","","","","",""
"3822","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	","j","html-keyboard-response","14","18959","0.0-3.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","19465","0.0-4.0-0.0","fixation","","","","","","","","","","",""
"391","","f","psychophysics","16","20383","0.0-4.0-1.0","response","F","true","key","f","16.678499999999985","500","400","Blue","Red","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","17","20894","0.0-4.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","21403","0.0-4.0-0.1","fixation","","","","","","","","","","",""
"522","","j","psychophysics","19","22447","0.0-4.0-1.1","response","J","true","key","j","16.677718750000054","500","400","Red","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","20","22958","0.0-4.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","23468","0.0-4.0-0.2","fixation","","","","","","","","","","",""
"321","","f","psychophysics","22","24305","0.0-4.0-1.2","response","F","true","key","f","16.6956315789474","500","400","Blue","Blue","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","23","24809","0.0-4.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","25321","0.0-4.0-0.3","fixation","","","","","","","","","","",""
"316","","j","psychophysics","25","26151","0.0-4.0-1.3","response","J","true","key","j","16.67989473684199","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","26","26669","0.0-4.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","27176","0.0-4.0-0.4","fixation","","","","","","","","","","",""
"420","","j","psychophysics","28","28117","0.0-4.0-1.4","response","J","true","key","j","16.68351999999999","500","400","Red","Red","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","29","28631","0.0-4.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","29146","0.0-4.0-0.5","fixation","","","","","","","","","","",""
