"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"62762","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Duration.</p>
      <p style=""margin:50px"">Press any key to begin.</p>"," ","html-keyboard-response","0","62768","0.0-0.0","","","","","","","","","","","",""
"8609","","{""P0_Q0"":null,""heard-stroop-effect"":""Yes"",""gerder"":""Female""}","survey","1","71441","0.0-1.0","[]","","","","","","","","","","",""
"20860","
		<div style=""width:800px"">
			<p>You will see text in 4 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press B key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      "," ","html-keyboard-response","2","92301","0.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","92811","0.0-3.0-0.0","","fixation","","","","","","","","","",""
"1540","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","4","94854","0.0-3.0-1.0","","","R","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","5","95358","0.0-3.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","95861","0.0-3.0-0.1","","fixation","","","","","","","","","",""
"1967","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","7","98329","0.0-3.0-1.1","","","G","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","8","98832","0.0-3.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","99334","0.0-3.0-0.2","","fixation","","","","","","","","","",""
"2305","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","10","102141","0.0-3.0-1.2","","","Y","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","11","102643","0.0-3.0-2.2","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","103146","0.0-3.0-0.3","","fixation","","","","","","","","","",""
"1294","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","13","104942","0.0-3.0-1.3","","","B","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","14","105444","0.0-3.0-2.3","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","105948","0.0-3.0-0.4","","fixation","","","","","","","","","",""
"5631","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","16","112082","0.0-3.0-1.4","","","R","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","17","112584","0.0-3.0-2.4","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","113085","0.0-3.0-0.5","","fixation","","","","","","","","","",""
"2225","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","19","115813","0.0-3.0-1.5","","","G","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","20","116314","0.0-3.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","116817","0.0-3.0-0.6","","fixation","","","","","","","","","",""
"6097","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","22","123417","0.0-3.0-1.6","","","B","true","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","23","123919","0.0-3.0-2.6","","","","","","","","","","","",""
