"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","is_soa","correct_response","is_correct","reaction_time"
"1024","457","true","chrome","119.0.0","false","Windows 10","true","61.37","true","false","browser-check","0","988","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","1","15932","0.0-1.0","14943","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Onset Asynchrony.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","b","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","2","29843","0.0-2.0","13909","
		<div style=""width:800px"">
			<p>You will see text randomly in one of the four colors,  <span style=""color:Blue"">Blue</span> <span style=""color:Red"">Red</span> <span style=""color:Green"">Green</span> <span style=""color:Yellow"">Yellow</span>.</p>
      <p>Your task to to press a key designated to the color stimulus as soon as possible.</p>
      <p>Here is a list of the colors with associated keys.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>For example, you should press B when seeing a stimulus of color <span style=""color:Blue"">Blue</span>, even if it is presented with another word like <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to become familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","g","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","3","30345","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","4","44153","0.0-3.0-1.0","13283","","g","practise","key","g","16.66397493734336","500","400","Green","Green","","200","","G","true",""
"","","","","","","","","","","","html-keyboard-response","5","44668","0.0-3.0-2.0","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","6","45174","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","7","47070","0.0-3.0-1.1","1355","","g","practise","key","g","16.86714634146341","500","400","Green","Yellow","","0","","G","true",""
"","","","","","","","","","","","html-keyboard-response","8","47580","0.0-3.0-2.1","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","9","48099","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","10","49598","0.0-3.0-1.2","971","","y","practise","key","y","16.661016949152543","500","400","Yellow","Blue","","0","","Y","true",""
"","","","","","","","","","","","html-keyboard-response","11","50101","0.0-3.0-2.2","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","50603","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","13","52135","0.0-3.0-1.3","1017","","r","practise","key","r","16.661901639344205","500","400","Red","Green","","200","","R","true",""
"","","","","","","","","","","","html-keyboard-response","14","52647","0.0-3.0-2.3","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","15","53158","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","16","54624","0.0-3.0-1.4","955","","b","practise","key","b","16.661192982456047","500","400","Blue","Red","","200","","B","true",""
"","","","","","","","","","","","html-keyboard-response","17","55129","0.0-3.0-2.4","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
