"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","is_soa","correct_response","is_correct","reaction_time"
"1680","970","true","safari","16.3.0","false","Mac OS","true","27.33","true","true","browser-check","0","2290","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","1","4990","0.0-1.0","2698","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Onset Asynchrony.</p>
      <p style=""margin:50px"">Press any key to begin.</p>"," ","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","2","30353","0.0-2.0","25362","
		<div style=""width:800px"">
			<p>You will see text randomly in one of the four colors,  <span style=""color:Blue"">Blue</span> <span style=""color:Red"">Red</span> <span style=""color:Green"">Green</span> <span style=""color:Yellow"">Yellow</span>.</p>
      <p>Your task to to press a key designated to the color stimulus as soon as possible.</p>
      <p>Here is a list of the colors with associated keys.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>For example, you should press B when seeing a stimulus of color <span style=""color:Blue"">Blue</span>, even if it is presented with another word like <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to become familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      "," ","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","3","30857","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","4","32912","0.0-3.0-1.0","1542","","b","practise","key","b","33.32608695652174","500","400","Blue","Blue","","200","","B","true",""
"","","","","","","","","","","","html-keyboard-response","5","33416","0.0-3.0-2.0","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","6","33918","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","7","36217","0.0-3.0-1.1","1788","","y","practise","key","y","33.339622641509436","500","400","Yellow","Yellow","","200","","Y","true",""
"","","","","","","","","","","","html-keyboard-response","8","36720","0.0-3.0-2.1","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","9","37223","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","10","39094","0.0-3.0-1.2","1362","","r","practise","key","r","33.325","500","400","Red","Red","","200","","R","true",""
"","","","","","","","","","","","html-keyboard-response","11","39096","0.0-3.0-2.2","1","<p style=""font-size:60pt"">Correct</p>","t","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","39598","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","13","43676","0.0-3.0-1.3","3568","","r","practise","key","r","33.33018867924528","500","400","Red","Green","","200","","R","true",""
"","","","","","","","","","","","html-keyboard-response","14","44178","0.0-3.0-2.3","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","15","44679","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","16","47010","0.0-3.0-1.4","1441","","g","practise","key","g","33.627906976744185","500","400","Green","Yellow","","200","","G","true",""
"","","","","","","","","","","","html-keyboard-response","17","47512","0.0-3.0-2.4","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","48014","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","19","49896","0.0-3.0-1.5","1373","","y","practise","key","y","37.611111111111114","500","400","Yellow","Blue","","0","","Y","true",""
"","","","","","","","","","","","html-keyboard-response","20","50398","0.0-3.0-2.5","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","21","50900","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","22","52408","0.0-3.0-1.6","999","","b","practise","key","b","33.310344827586206","500","400","Blue","Blue","","0","","B","true",""
"","","","","","","","","","","","html-keyboard-response","23","52910","0.0-3.0-2.6","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","53413","0.0-3.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","25","55114","0.0-3.0-1.7","1190","","b","practise","key","b","33.31428571428572","500","400","Blue","Red","","0","","B","true",""
"","","","","","","","","","","","html-keyboard-response","26","55617","0.0-3.0-2.7","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","27","56120","0.0-3.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","28","57666","0.0-3.0-1.8","1037","","r","practise","key","r","33.3","500","400","Red","Red","","0","","R","true",""
"","","","","","","","","","","","html-keyboard-response","29","58167","0.0-3.0-2.8","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","58669","0.0-3.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","31","60338","0.0-3.0-1.9","1158","","b","practise","key","b","35.40625","500","400","Blue","Red","","200","","B","true",""
"","","","","","","","","","","","html-keyboard-response","32","60842","0.0-3.0-2.9","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","33","61344","0.0-3.0-0.10","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","34","62783","0.0-3.0-1.10","929","","y","practise","key","y","33.333333333333336","500","400","Yellow","Blue","","200","","Y","true",""
"","","","","","","","","","","","html-keyboard-response","35","63285","0.0-3.0-2.10","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","36","63787","0.0-3.0-0.11","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","37","65266","0.0-3.0-1.11","968","","g","practise","key","g","33.357142857142854","500","400","Green","Green","","0","","G","true",""
"","","","","","","","","","","","html-keyboard-response","38","65769","0.0-3.0-2.11","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","39","66271","0.0-3.0-0.12","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","40","67881","0.0-3.0-1.12","1099","","r","practise","key","r","33.34375","500","400","Red","Green","","0","","R","true",""
"","","","","","","","","","","","html-keyboard-response","41","68383","0.0-3.0-2.12","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","68886","0.0-3.0-0.13","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","43","70747","0.0-3.0-1.13","1351","","g","practise","key","g","33.325","500","400","Green","Green","","200","","G","true",""
"","","","","","","","","","","","html-keyboard-response","44","71249","0.0-3.0-2.13","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","45","71752","0.0-3.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","46","73252","0.0-3.0-1.14","991","","y","practise","key","y","33.3448275862069","500","400","Yellow","Yellow","","0","","Y","true",""
"","","","","","","","","","","","html-keyboard-response","47","73754","0.0-3.0-2.14","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","48","74256","0.0-3.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","49","76224","0.0-3.0-1.15","1458","","g","practise","key","g","33.325581395348834","500","400","Green","Yellow","","0","","G","true",""
"","","","","","","","","","","","html-keyboard-response","50","76726","0.0-3.0-2.15","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","51","81166","0.0-4.0","4439","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	"," ","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","81668","0.0-5.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","53","83499","0.0-5.0-1.0","1320","","g","response","key","g","33.333333333333336","500","400","Green","Red","false","200","true","G","true","1120"
"","","","","","","","","","","","html-keyboard-response","54","84002","0.0-5.0-2.0","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","55","84504","0.0-5.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","56","86060","0.0-5.0-1.1","1045","","r","response","key","r","33.32258064516129","500","400","Red","Red","true","0","false","R","true","1045"
"","","","","","","","","","","","html-keyboard-response","57","86563","0.0-5.0-2.1","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","87065","0.0-5.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","59","88734","0.0-5.0-1.2","1160","","g","response","key","g","33.35294117647059","500","400","Green","Green","true","0","false","G","true","1160"
"","","","","","","","","","","","html-keyboard-response","60","89237","0.0-5.0-2.2","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","61","89738","0.0-5.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","62","91304","0.0-5.0-1.3","1053","","r","response","key","r","33.354838709677416","500","400","Red","Blue","false","0","false","R","true","1053"
"","","","","","","","","","","","html-keyboard-response","63","91809","0.0-5.0-2.3","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","92311","0.0-5.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","65","94180","0.0-5.0-1.4","1359","","b","response","key","b","33.325","500","400","Blue","Yellow","false","0","false","B","true","1359"
"","","","","","","","","","","","html-keyboard-response","66","94682","0.0-5.0-2.4","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","67","95184","0.0-5.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","68","96649","0.0-5.0-1.5","954","","r","response","key","r","33.32142857142857","500","400","Red","Red","true","200","true","R","true","754"
"","","","","","","","","","","","html-keyboard-response","69","97152","0.0-5.0-2.5","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","70","97654","0.0-5.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","71","99019","0.0-5.0-1.6","855","","b","response","key","b","33.36","500","400","Blue","Blue","true","0","false","B","true","855"
"","","","","","","","","","","","html-keyboard-response","72","99521","0.0-5.0-2.6","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","73","100024","0.0-5.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","74","102027","0.0-5.0-1.7","1496","","g","response","key","g","33.34090909090909","500","400","Green","Yellow","false","0","false","G","true","1496"
"","","","","","","","","","","","html-keyboard-response","75","102529","0.0-5.0-2.7","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","76","103031","0.0-5.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","77","104626","0.0-5.0-1.8","1084","","r","response","key","r","33.3125","500","400","Red","Green","false","200","true","R","true","884"
"","","","","","","","","","","","html-keyboard-response","78","105129","0.0-5.0-2.8","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","79","105631","0.0-5.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","80","107315","0.0-5.0-1.9","1175","","r","response","key","r","33.3235294117647","500","400","Red","Blue","false","200","true","R","true","975"
"","","","","","","","","","","","html-keyboard-response","81","107818","0.0-5.0-2.9","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","82","108320","0.0-5.0-0.10","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","83","109732","0.0-5.0-1.10","903","","y","response","key","y","33.34615384615385","500","400","Yellow","Yellow","true","200","true","Y","true","703"
"","","","","","","","","","","","html-keyboard-response","84","110234","0.0-5.0-2.10","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","85","110737","0.0-5.0-0.11","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","86","112178","0.0-5.0-1.11","933","","r","response","key","r","33.333333333333336","500","400","Red","Green","false","200","true","R","true","733"
"","","","","","","","","","","","html-keyboard-response","87","112683","0.0-5.0-2.11","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","88","113185","0.0-5.0-0.12","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","89","114584","0.0-5.0-1.12","891","","r","response","key","r","33.30769230769231","500","400","Red","Red","true","0","false","R","true","891"
"","","","","","","","","","","","html-keyboard-response","90","115087","0.0-5.0-2.12","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","91","115589","0.0-5.0-0.13","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","92","117081","0.0-5.0-1.13","982","","y","response","key","y","33.310344827586206","500","400","Yellow","Red","false","0","false","Y","true","982"
"","","","","","","","","","","","html-keyboard-response","93","117584","0.0-5.0-2.13","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","94","118086","0.0-5.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","95","119535","0.0-5.0-1.14","940","","y","response","key","y","33.2962962962963","500","400","Yellow","Yellow","true","200","true","Y","true","740"
"","","","","","","","","","","","html-keyboard-response","96","120194","0.0-5.0-2.14","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","97","120698","0.0-5.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","98","122038","0.0-5.0-1.15","830","","y","response","key","y","33.375","500","400","Yellow","Green","false","0","false","Y","true","830"
"","","","","","","","","","","","html-keyboard-response","99","122541","0.0-5.0-2.15","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","100","123043","0.0-5.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","101","124448","0.0-5.0-1.16","895","","g","response","key","g","33.30769230769231","500","400","Green","Red","false","0","false","G","true","895"
"","","","","","","","","","","","html-keyboard-response","102","124951","0.0-5.0-2.16","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","103","125453","0.0-5.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","104","126942","0.0-5.0-1.17","977","","y","response","key","y","33.310344827586206","500","400","Yellow","Green","false","200","true","Y","true","777"
"","","","","","","","","","","","html-keyboard-response","105","127446","0.0-5.0-2.17","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","106","127949","0.0-5.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","107","129278","0.0-5.0-1.18","818","","y","response","key","y","33.291666666666664","500","400","Yellow","Red","false","0","false","Y","true","818"
"","","","","","","","","","","","html-keyboard-response","108","129780","0.0-5.0-2.18","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","109","130283","0.0-5.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","110","131935","0.0-5.0-1.19","1143","","g","response","key","g","33.333333333333336","500","400","Green","Green","true","200","true","G","true","943"
"","","","","","","","","","","","html-keyboard-response","111","132438","0.0-5.0-2.19","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","112","132940","0.0-5.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","113","134409","0.0-5.0-1.20","960","","r","response","key","r","33.357142857142854","500","400","Red","Red","true","0","false","R","true","960"
"","","","","","","","","","","","html-keyboard-response","114","134912","0.0-5.0-2.20","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","115","135414","0.0-5.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
