width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,task,response_type,key_press,avg_frame_time,center_x,center_y,color,text,is_congruent,duration,is_soa,correct_response,is_correct,reaction_time
1324,753,TRUE,safari,13.1.3,FALSE,Mac OS,TRUE,21.72,TRUE,TRUE,browser-check,0,2778,0.0-0.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,1,4723,0.0-1.0,1942,"<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Onset Asynchrony.</p>
      <p style=""margin:50px"">Press any key to begin.</p>", ,,,,,,,,,,,,,,
,,,,,,,,,,,survey,2,35904,0.0-2.0,31050,,"{""P0_Q0"":null,""gerder"":""Female"",""age"":21,""ethnicity"":""Asian""}",,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,3,101880,0.0-3.0,65977,"
		<div style=""width:800px"">
			<p>You will see text randomly in one of the four colors,  <span style=""color:Blue"">Blue</span> <span style=""color:Red"">Red</span> <span style=""color:Green"">Green</span> <span style=""color:Yellow"">Yellow</span>.</p>
      <p>Your task to to press a key designated to the color stimulus as soon as possible.</p>
      <p>Here is a list of the colors with associated keys.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>For example, you should press B when seeing a stimulus of color <span style=""color:Blue"">Blue</span>, even if it is presented with another word like <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to become familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ", ,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,4,102382,0.0-4.0-0.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,5,104632,0.0-4.0-1.0,1714,,r,practise,key,r,16.65686275,500,400,Red,Green,,200,,R,TRUE,
,,,,,,,,,,,html-keyboard-response,6,105134,0.0-4.0-2.0,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,7,105637,0.0-4.0-0.1,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,8,108026,0.0-4.0-1.1,1883,,b,practise,key,b,16.66071429,500,400,Blue,Red,,0,,B,TRUE,
,,,,,,,,,,,html-keyboard-response,9,108527,0.0-4.0-2.1,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,10,109029,0.0-4.0-0.2,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,11,110960,0.0-4.0-1.2,1424,,b,practise,key,b,16.6626506,500,400,Blue,Blue,,200,,B,TRUE,
,,,,,,,,,,,html-keyboard-response,12,111462,0.0-4.0-2.2,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,13,111963,0.0-4.0-0.3,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,14,113739,0.0-4.0-1.3,1270,,b,practise,key,b,16.57333333,500,400,Blue,Red,,200,,B,TRUE,
,,,,,,,,,,,html-keyboard-response,15,114241,0.0-4.0-2.3,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,16,114742,0.0-4.0-0.4,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,17,116399,0.0-4.0-1.4,1151,,y,practise,key,y,16.67164179,500,400,Yellow,Blue,,0,,Y,TRUE,
,,,,,,,,,,,html-keyboard-response,18,116901,0.0-4.0-2.4,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,19,117402,0.0-4.0-0.5,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,20,119160,0.0-4.0-1.5,1255,,y,practise,key,y,16.58108108,500,400,Yellow,Blue,,200,,Y,TRUE,
,,,,,,,,,,,html-keyboard-response,21,119663,0.0-4.0-2.5,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,22,120164,0.0-4.0-0.6,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,23,121642,0.0-4.0-1.6,968,,g,practise,key,g,16.66666667,500,400,Green,Green,,0,,G,TRUE,
,,,,,,,,,,,html-keyboard-response,24,122144,0.0-4.0-2.6,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,25,122646,0.0-4.0-0.7,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,26,124045,0.0-4.0-1.7,894,,y,practise,key,y,16.54716981,500,400,Yellow,Yellow,,0,,Y,TRUE,
,,,,,,,,,,,html-keyboard-response,27,124546,0.0-4.0-2.7,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,28,125048,0.0-4.0-0.8,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,29,126651,0.0-4.0-1.8,1098,,g,practise,key,g,16.65625,500,400,Green,Yellow,,0,,G,TRUE,
,,,,,,,,,,,html-keyboard-response,30,127153,0.0-4.0-2.8,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,31,127655,0.0-4.0-0.9,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,32,129661,0.0-4.0-1.9,1502,,r,practise,key,r,16.58426966,500,400,Red,Green,,0,,R,TRUE,
,,,,,,,,,,,html-keyboard-response,33,130163,0.0-4.0-2.9,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,34,130665,0.0-4.0-0.10,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,35,132183,0.0-4.0-1.10,1013,,r,practise,key,r,16.6440678,500,400,Red,Red,,200,,R,TRUE,
